Ref,Val,Package,PosX,PosY,Rot,Side
"D652","1N4148W","D_SOD-123",65.000000,-109.820000,90.000000,top
"D801","BAT54","D_SOD-123",44.000000,-167.440000,90.000000,top
"D802","BAT54","D_SOD-123",48.000000,-167.440000,90.000000,top
"D803","PMEG2010AEH","D_SOD-123F",44.000000,-127.440000,90.000000,top
"D804","B340A","D_SMA",28.779999,-201.259999,90.000000,top
"D805","1N4148W","D_SOD-123",25.000000,-186.049999,90.000000,top
"D806","PMEG2010AEH","D_SOD-123F",44.000000,-221.649999,90.000000,top
"D813","BAT54","D_SOD-123",66.000000,-167.440000,90.000000,top
"D823","BAT54","D_SOD-123",70.000000,-167.440000,90.000000,top
"D833","BAT54","D_SOD-123",74.000000,-167.440000,90.000000,top
"F801","1.6A T 250V","Fuse_Schurter_UMT250",10.899999,-201.259999,90.000000,top
"J1","CH1","PinHeader_1x02_P2.54mm_Vertical",6.000000,-12.000000,0.000000,top
"J2","CH2","PinHeader_1x02_P2.54mm_Vertical",6.000000,-19.620000,0.000000,top
"J3","CH3","PinHeader_1x02_P2.54mm_Vertical",6.000000,-27.240000,0.000000,top
"J4","CH4","PinHeader_1x02_P2.54mm_Vertical",6.000000,-34.860000,0.000000,top
"J5","CH5","PinHeader_1x02_P2.54mm_Vertical",6.000000,-42.480000,0.000000,top
"J6","CH6","PinHeader_1x02_P2.54mm_Vertical",6.000000,-50.100000,0.000000,top
"J8","PWR","PinHeader_1x02_P2.54mm_Vertical",6.000000,-198.259999,0.000000,top
"J15","MIDIIN","PinHeader_1x03_P2.54mm_Vertical",14.000000,-176.519999,0.000000,top
"J16","MIDIOUT","PinHeader_1x03_P2.54mm_Vertical",20.000000,-176.519999,0.000000,top
"J17","TAP","PinHeader_1x02_P2.54mm_Vertical",26.000000,-176.519999,0.000000,top
"J18","EXPR","PinHeader_1x03_P2.54mm_Vertical",32.000000,-176.519999,0.000000,top
"J19","RESET","PinHeader_1x02_P2.54mm_Vertical",38.000000,-176.519999,0.000000,top
"K801","G6S-2 DC5","Relay_DPDT_Omron_G6S-2F",44.000000,-157.440000,90.000000,top
"K802","G6S-2 DC5","Relay_DPDT_Omron_G6S-2F",62.000000,-157.440000,90.000000,top
"K803","G6S-2 DC5","Relay_DPDT_Omron_G6S-2F",80.000000,-157.440000,90.000000,top
"L801","744222","L_CommonMode_Wuerth_WE-SL2",20.029999,-201.259999,0.000000,top
"L802","15u 20%","L_Bourns_SRN6045TA",66.000000,-190.649999,0.000000,top
"Q801","DMG1012T","SOT-523",60.000000,-167.440000,0.000000,top
"R101","10k 0.1%","R_0805_2012Metric",13.000000,-12.000000,90.000000,top
"R102","10k 0.1%","R_0805_2012Metric",15.900000,-12.000000,90.000000,top
"R111","12k1 0.1%","R_0805_2012Metric",35.000000,-12.000000,90.000000,top
"R115","220R 1%","R_0805_2012Metric",39.000000,-12.000000,90.000000,top
"R121","12k1 0.1%","R_0805_2012Metric",58.000000,-12.000000,90.000000,top
"R131","1M 1%","R_0805_2012Metric",76.000000,-12.000000,90.000000,top
"R132","1M 1%","R_0805_2012Metric",83.900000,-12.000000,90.000000,top
"R141","22k 1%","R_0805_2012Metric",13.000000,-71.720000,90.000000,top
"R142","17k8 1%","R_0805_2012Metric",17.000000,-71.720000,90.000000,top
"R143","17k8 1%","R_0805_2012Metric",21.000000,-71.720000,90.000000,top
"R144","22k 1%","R_0805_2012Metric",25.000000,-71.720000,90.000000,top
"R151","10k 1%","R_0805_2012Metric",52.000000,-71.720000,90.000000,top
"R152","10k 1%","R_0805_2012Metric",56.000000,-71.720000,90.000000,top
"R153","10k 1%","R_0805_2012Metric",70.000000,-71.720000,90.000000,top
"R154","4k99 1%","R_0805_2012Metric",74.000000,-71.720000,90.000000,top
"R155","10k 1%","R_0805_2012Metric",78.000000,-71.720000,90.000000,top
"R156","22k 1%","R_0805_2012Metric",50.000000,-127.440000,90.000000,top
"R157","4k99 1%","R_0805_2012Metric",54.000000,-127.440000,90.000000,top
"R201","10k 0.1%","R_0805_2012Metric",13.000000,-19.620000,90.000000,top
"R202","10k 0.1%","R_0805_2012Metric",15.900000,-19.620000,90.000000,top
"R211","12k1 0.1%","R_0805_2012Metric",35.000000,-19.620000,90.000000,top
"R215","220R 1%","R_0805_2012Metric",39.000000,-19.620000,90.000000,top
"R221","12k1 0.1%","R_0805_2012Metric",58.000000,-19.620000,90.000000,top
"R231","1M 1%","R_0805_2012Metric",76.000000,-19.620000,90.000000,top
"R232","1M 1%","R_0805_2012Metric",83.900000,-19.620000,90.000000,top
"R241","22k 1%","R_0805_2012Metric",13.000000,-79.340000,90.000000,top
"R242","17k8 1%","R_0805_2012Metric",17.000000,-79.340000,90.000000,top
"R243","17k8 1%","R_0805_2012Metric",21.000000,-79.340000,90.000000,top
"R244","22k 1%","R_0805_2012Metric",25.000000,-79.340000,90.000000,top
"R251","10k 1%","R_0805_2012Metric",52.000000,-79.340000,90.000000,top
"R252","10k 1%","R_0805_2012Metric",56.000000,-79.340000,90.000000,top
"R253","10k 1%","R_0805_2012Metric",70.000000,-79.340000,90.000000,top
"R254","4k99 1%","R_0805_2012Metric",74.000000,-79.340000,90.000000,top
"R255","10k 1%","R_0805_2012Metric",78.000000,-79.340000,90.000000,top
"R256","22k 1%","R_0805_2012Metric",50.000000,-131.440000,90.000000,top
"R257","4k99 1%","R_0805_2012Metric",54.000000,-131.440000,90.000000,top
"R301","10k 0.1%","R_0805_2012Metric",13.000000,-27.240000,90.000000,top
"R302","10k 0.1%","R_0805_2012Metric",15.900000,-27.240000,90.000000,top
"R311","12k1 0.1%","R_0805_2012Metric",35.000000,-27.240000,90.000000,top
"R315","220R 1%","R_0805_2012Metric",39.000000,-27.240000,90.000000,top
"R321","12k1 0.1%","R_0805_2012Metric",58.000000,-27.240000,90.000000,top
"R331","1M 1%","R_0805_2012Metric",76.000000,-27.240000,90.000000,top
"R332","1M 1%","R_0805_2012Metric",83.900000,-27.240000,90.000000,top
"R341","22k 1%","R_0805_2012Metric",13.000000,-86.960000,90.000000,top
"R342","17k8 1%","R_0805_2012Metric",17.000000,-86.960000,90.000000,top
"R343","17k8 1%","R_0805_2012Metric",21.000000,-86.960000,90.000000,top
"R344","22k 1%","R_0805_2012Metric",25.000000,-86.960000,90.000000,top
"R351","10k 1%","R_0805_2012Metric",52.000000,-86.960000,90.000000,top
"R352","10k 1%","R_0805_2012Metric",56.000000,-86.960000,90.000000,top
"R353","10k 1%","R_0805_2012Metric",70.000000,-86.960000,90.000000,top
"R354","4k99 1%","R_0805_2012Metric",74.000000,-86.960000,90.000000,top
"R355","10k 1%","R_0805_2012Metric",78.000000,-86.960000,90.000000,top
"R356","22k 1%","R_0805_2012Metric",50.000000,-135.440000,90.000000,top
"R357","4k99 1%","R_0805_2012Metric",54.000000,-135.440000,90.000000,top
"R401","10k 0.1%","R_0805_2012Metric",13.000000,-34.860000,90.000000,top
"R402","10k 0.1%","R_0805_2012Metric",15.900000,-34.860000,90.000000,top
